Flat profile:

Each sample counts as 0.01 seconds.
 no time accumulated

  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
  0.00      0.00     0.00       99     0.00     0.00  Catch::Clara::CommandLine<Catch::ConfigData>::~CommandLine()
  0.00      0.00     0.00       99     0.00     0.00  std::__numpunct_cache<char>::_M_cache(std::locale const&)
  0.00      0.00     0.00       99     0.00     0.00  void std::swap<Catch::TestCase*>(Catch::TestCase*&, Catch::TestCase*&)
  0.00      0.00     0.00       98     0.00     0.00  _ZN9__gnu_cxx13new_allocatorIN5Catch5Clara6Parser5TokenEE9constructIS4_IS4_EEEvPT_DpOT0_
  0.00      0.00     0.00       98     0.00     0.00  void std::swap<Catch::TestCase>(Catch::TestCase&, Catch::TestCase&)
  0.00      0.00     0.00       97     0.00     0.00  std::__timepunct<char>::~__timepunct()
  0.00      0.00     0.00       93     0.00     0.00  void std::_Construct<Catch::Ptr<Catch::TestSpec::Pattern>, Catch::Ptr<Catch::TestSpec::Pattern> const&>(Catch::Ptr<Catch::TestSpec::Pattern>*, Catch::Ptr<Catch::TestSpec::Pattern> const&)
  0.00      0.00     0.00       89     0.00     0.00  Catch::Clara::OptionArgProperties::OptionArgProperties()
  0.00      0.00     0.00       88     0.00     0.00  __gnu_cxx::__alloc_traits<std::allocator<Catch::TestCase> >::_S_select_on_copy(std::allocator<Catch::TestCase> const&)
  0.00      0.00     0.00       88     0.00     0.00  int std::uniform_int_distribution<int>::operator()<std::linear_congruential_engine<unsigned int, 16807u, 0u, 2147483647u> >(std::linear_congruential_engine<unsigned int, 16807u, 0u, 2147483647u>&, std::uniform_int_distribution<int>::param_type const&)
  0.00      0.00     0.00       88     0.00     0.00  std::vector<Catch::Ptr<Catch::CumulativeReporterBase::Node<Catch::TestGroupStats, Catch::CumulativeReporterBase::Node<Catch::TestCaseStats, Catch::CumulativeReporterBase::SectionNode> > >, std::allocator<Catch::Ptr<Catch::CumulativeReporterBase::Node<Catch::TestGroupStats, Catch::CumulativeReporterBase::Node<Catch::TestCaseStats, Catch::CumulativeReporterBase::SectionNode> > > > >::swap(std::vector<Catch::Ptr<Catch::CumulativeReporterBase::Node<Catch::TestGroupStats, Catch::CumulativeReporterBase::Node<Catch::TestCaseStats, Catch::CumulativeReporterBase::SectionNode> > >, std::allocator<Catch::Ptr<Catch::CumulativeReporterBase::Node<Catch::TestGroupStats, Catch::CumulativeReporterBase::Node<Catch::TestCaseStats, Catch::CumulativeReporterBase::SectionNode> > > > >&)
  0.00      0.00     0.00       88     0.00     0.00  std::num_put<char, std::ostreambuf_iterator<char, std::char_traits<char> > >::num_put(unsigned int)
  0.00      0.00     0.00       88     0.00     0.00  std::_Rb_tree<Catch::TestCase, Catch::TestCase, std::_Identity<Catch::TestCase>, std::less<Catch::TestCase>, std::allocator<Catch::TestCase> >::_M_get_insert_unique_pos(Catch::TestCase const&)
  0.00      0.00     0.00       88     0.00     0.00  std::basic_ios<char, std::char_traits<char> >::copyfmt(std::basic_ios<char, std::char_traits<char> > const&)
  0.00      0.00     0.00       83     0.00     0.00  Catch::Matchers::Impl::StdString::Contains::toString() const
  0.00      0.00     0.00       83     0.00     0.00  std::_Vector_base<Catch::TestSpec::Filter, std::allocator<Catch::TestSpec::Filter> >::_Vector_impl::_Vector_impl(std::allocator<Catch::TestSpec::Filter>&&)
  0.00      0.00     0.00       82     0.00     0.00  Catch::Session::applyCommandLine(int, char const* const*, Catch::Session::OnUnusedOptions::DoWhat)
  0.00      0.00     0.00       81     0.00     0.00  std::__timepunct<wchar_t>::~__timepunct()
  0.00      0.00     0.00       81     0.00     0.00  std::basic_ostream<wchar_t, std::char_traits<wchar_t> >& std::basic_ostream<wchar_t, std::char_traits<wchar_t> >::_M_insert<long long>(long long)
  0.00      0.00     0.00       80     0.00     0.00  Catch::Clara::OptionArgProperties::OptionArgProperties(Catch::Clara::OptionArgProperties const&)
  0.00      0.00     0.00       80     0.00     0.00  std::moneypunct_byname<char, false>::moneypunct_byname(char const*, unsigned int)
  0.00      0.00     0.00       80     0.00     0.00  std::num_get<wchar_t, std::istreambuf_iterator<wchar_t, std::char_traits<wchar_t> > >::~num_get()
  0.00      0.00     0.00       80     0.00     0.00  std::moneypunct<char, false> const& std::use_facet<std::moneypunct<char, false> >(std::locale const&)
  0.00      0.00     0.00       77     0.00     0.00  void Catch::Clara::CommandLine<Catch::ConfigData>::ArgBuilder::bind<Catch::ConfigData>(bool Catch::ConfigData::*)
  0.00      0.00     0.00       75     0.00     0.00  Catch::JunitReporter::writeAssertion(Catch::AssertionStats const&)
  0.00      0.00     0.00       75     0.00     0.00  Catch::ReporterRegistrar<Catch::JunitReporter>::ReporterRegistrar(std::string const&)
  0.00      0.00     0.00       75     0.00     0.00  void std::__insertion_sort<__gnu_cxx::__normal_iterator<Catch::TestCase*, std::vector<Catch::TestCase, std::allocator<Catch::TestCase> > > >(__gnu_cxx::__normal_iterator<Catch::TestCase*, std::vector<Catch::TestCase, std::allocator<Catch::TestCase> > >, __gnu_cxx::__normal_iterator<Catch::TestCase*, std::vector<Catch::TestCase, std::allocator<Catch::TestCase> > >)
  0.00      0.00     0.00       73     0.00     0.00  std::vector<Catch::TestSpec::Filter, std::allocator<Catch::TestSpec::Filter> >::_M_check_len(unsigned int, char const*) const
  0.00      0.00     0.00       72     0.00     0.00  __gnu_cxx::__throw_concurrence_broadcast_error()
  0.00      0.00     0.00       70     0.00     0.00  _ZNSt16allocator_traitsISaIN5Catch3PtrINS0_22CumulativeReporterBase11SectionNodeEEEEE9constructIS4_IRKS4_EEEDTcl12_S_constructfp_fp0_spcl7forwardIT0_Efp1_EEERS5_PT_DpOSA_
  0.00      0.00     0.00       70     0.00     0.00  __gnu_cxx::__normal_iterator<Catch::MessageInfo*, std::vector<Catch::MessageInfo, std::allocator<Catch::MessageInfo> > > std::__find<__gnu_cxx::__normal_iterator<Catch::MessageInfo*, std::vector<Catch::MessageInfo, std::allocator<Catch::MessageInfo> > >, Catch::MessageInfo>(__gnu_cxx::__normal_iterator<Catch::MessageInfo*, std::vector<Catch::MessageInfo, std::allocator<Catch::MessageInfo> > >, __gnu_cxx::__normal_iterator<Catch::MessageInfo*, std::vector<Catch::MessageInfo, std::allocator<Catch::MessageInfo> > >, Catch::MessageInfo const&, std::random_access_iterator_tag)
  0.00      0.00     0.00       69     0.00     0.00  std::__use_cache<std::__moneypunct_cache<char, true> >::operator()(std::locale const&) const
  0.00      0.00     0.00       68     0.00     0.00  __gnu_cxx::__normal_iterator<char*, std::string> std::transform<__gnu_cxx::__normal_iterator<char*, std::string>, __gnu_cxx::__normal_iterator<char*, std::string>, char (*)(char)>(__gnu_cxx::__normal_iterator<char*, std::string>, __gnu_cxx::__normal_iterator<char*, std::string>, __gnu_cxx::__normal_iterator<char*, std::string>, char (*)(char))
  0.00      0.00     0.00       67     0.00     0.00  Catch::Clara::CommandLine<Catch::ConfigData>::parseInto(std::vector<std::string, std::allocator<std::string> > const&, Catch::ConfigData&) const
  0.00      0.00     0.00       67     0.00     0.00  std::vector<Catch::TestCase, std::allocator<Catch::TestCase> >::_M_check_len(unsigned int, char const*) const
  0.00      0.00     0.00       66     0.00     0.00  __gnu_cxx::stdio_filebuf<char, std::char_traits<char> >::~stdio_filebuf()
  0.00      0.00     0.00       66     0.00     0.00  std::__timepunct<char>::__timepunct(unsigned int)
